Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
2-к. квартира,56,3,6,Московская ,5,nan,Агентство,40000,nan
2-к. квартира,46,4,5,Ломоносовская ,16–20,nan,Агентство,21000,nan
Квартира-студия,23,15,25,Пролетарская ,6–10,nan,Агентство,25000,nan
Квартира-студия,27,2,3,Парнас ,21–30,nan,Агентство,19999,nan
1-к. квартира,42,10,25,Московская ,21–30,nan,Агентство,26000,nan
1-к. квартира,35,6,12,Комендантский проспект ,21–30,nan,Агентство,21000,nan
Квартира-студия,23,14,19,Комендантский проспект ,31,nan,Агентство,25000,nan
1-к. квартира,45,13,20,nan,nan,р-н Красносельский,Агентство,30000,nan
1-к. квартира,50,6,6,nan,nan,Пушкин,Агентство,31000,nan
1-к. квартира,40,12,18,Проспект Ветеранов ,31,nan,Агентство,23000,nan
Квартира-студия,26,8,8,nan,nan,р-н Красносельский,Агентство,17000,nan
Квартира-студия,25,13,13,nan,nan,р-н Красносельский,Агентство,21000,nan
Квартира-студия,15,3,5,Сенная площадь ,6–10,nan,Агентство,32000,nan
Квартира-студия,36,5,25,Беговая ,21–30,nan,Агентство,23000,nan
1-к. квартира,36.5,8,12,Комендантский проспект ,31,nan,Агентство,35000,nan
2-к. квартира,55,3,5,Удельная ,16–20,nan,Агентство,26000,nan
2-к. квартира,45,5,9,Озерки ,11–15,nan,Агентство,24000,nan
Квартира-студия,16,1,2,Ломоносовская ,11–15,nan,Агентство,16000,nan
1-к. квартира,30,5,8,Проспект Просвещения ,31,nan,Агентство,24000,nan
Квартира-студия,27,6,13,nan,nan,р-н Красносельский,Агентство,23000,nan
1-к. квартира,38.2,7,10,Проспект Ветеранов ,31,nan,Агентство,20000,nan
Квартира-студия,27,12,16,Проспект Просвещения ,16–20,nan,Агентство,19000,nan
1-к. квартира,39.7,8,9,Площадь А Невского II ,11–15,nan,Агентство,40000,nan
Квартира-студия,29.5,7,15,Елизаровская ,31,nan,Агентство,27500,nan
Квартира-студия,30,7,11,Площадь Мужества ,11–15,nan,Агентство,30000,nan
Квартира-студия,30,20,20,Ладожская ,31,nan,Агентство,30000,nan
Квартира-студия,25,5,17,Проспект Ветеранов ,31,nan,Агентство,15500,nan
Квартира-студия,28.3,2,5,nan,nan,р-н Московский,Агентство,18000,nan
1-к. квартира,37,10,20,Пролетарская ,6–10,nan,Агентство,30000,nan
2-к. квартира,52,6,7,Технологический инт I ,5,nan,Агентство,40000,nan
3-к. квартира,70,2,10,Комендантский проспект ,16–20,nan,Агентство,45000,nan
Апартаменты-студия,30,8,11,Московские ворота ,5,nan,Агентство,33000,nan
1-к. квартира,40,10,16,Проспект Просвещения ,31,nan,Агентство,18000,nan
1-к. квартира,36,7,9,Ладожская ,31,nan,Агентство,20000,nan
1-к. квартира,33,2,21,Звёздная ,31,nan,Агентство,23000,nan
1-к. квартира,42,7,15,Комендантский проспект ,21–30,nan,Агентство,23000,nan
1-к. квартира,32,3,4,Елизаровская ,11–15,nan,Агентство,20000,nan
Квартира-студия,25,17,19,Приморская ,31,nan,Агентство,25000,nan
Апартаменты-студия,16,1,5,Площадь Восстания ,16–20,nan,Агентство,24900,nan
