Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
3-к. квартира,100,3,5,Площадь А Невского I ,11–15,nan,Агентство,70000,nan
3-к. квартира,110,5,10,Петроградская ,5,nan,Агентство,150000,nan
2-к. квартира,65,3,5,Лесная ,21–30,nan,Агентство,35000,nan
2-к. квартира,50,3,7,Московская ,6–10,nan,Агентство,45000,nan
4-к. квартира,169.7,4,4,Невский проспект ,11–15,nan,Агентство,200000,nan
2-к. квартира,70,3,24,Гражданский проспект ,6–10,nan,Агентство,42000,nan
3-к. квартира,72.7,9,10,Улица Дыбенко ,21–30,nan,Агентство,50000,nan
3-к. квартира,75,13,24,Московская ,6–10,nan,Агентство,90000,nan
2-к. квартира,65,17,24,Беговая ,11–15,nan,Агентство,55000,nan
1-к. квартира,43,6,25,Звёздная ,21–30,nan,Агентство,37000,nan
2-к. квартира,50,4,4,nan,nan,р-н Красносельский,Агентство,35000,nan
1-к. квартира,41,4,8,Звёздная ,11–15,nan,Агентство,30000,nan
1-к. квартира,31,5,5,nan,nan,Ломоносов,Агентство,17000,nan
2-к. квартира,66,3,4,Василеостровская ,6–10,nan,Агентство,50000,nan
2-к. квартира,45,5,10,Чкаловская ,5,nan,Агентство,65000,nan
Квартира-студия,24,23,24,Комендантский проспект ,31,nan,Агентство,23000,nan
2-к. квартира,60,13,16,Проспект Ветеранов ,31,nan,Агентство,30000,nan
4-к. квартира,160,5,7,Чернышевская ,16–20,nan,Агентство,200000,nan
1-к. квартира,48,2,5,Площадь Восстания ,6–10,nan,Агентство,55000,nan
3-к. квартира,68,6,19,Приморская ,31,nan,Агентство,50000,nan
Квартира-студия,28,18,24,Ладожская ,31,nan,Агентство,25000,nan
2-к. квартира,46,4,5,Электросила ,16–20,nan,Агентство,35000,nan
1-к. квартира,35,10,20,Комендантский проспект ,31,nan,Агентство,45000,nan
3-к. квартира,67,4,9,Гражданский проспект ,21–30,nan,Агентство,50000,nan
2-к. квартира,70,4,6,Парк Победы ,6–10,nan,Агентство,60000,nan
2-к. квартира,125,5,5,Василеостровская ,6–10,nan,Агентство,80000,nan
1-к. квартира,30,7,9,Ленинский проспект ,11–15,nan,Агентство,25000,nan
1-к. квартира,40,12,16,Проспект Ветеранов ,21–30,nan,Агентство,39500,nan
3-к. квартира,100,5,8,Чернышевская ,31,nan,Агентство,240000,nan
5-к. квартира,204,4,4,Сенная площадь ,6–10,nan,Агентство,120000,nan
1-к. квартира,40,20,23,Звёздная ,16–20,nan,Агентство,28000,nan
2-к. квартира,104,7,16,Приморская ,6–10,nan,Агентство,60000,nan
1-к. квартира,42,8,22,Академическая ,6–10,nan,Агентство,40000,nan
3-к. квартира,110,3,5,Маяковская ,6–10,nan,Агентство,74999,nan
Квартира-студия,25,10,12,nan,nan,р-н Красносельский,Агентство,17000,nan
1-к. квартира,47.3,6,10,Старая деревня ,21–30,nan,Агентство,42000,nan
2-к. квартира,59,9,16,Беговая ,16–20,nan,Агентство,40000,nan
4-к. квартира,160,5,6,Чернышевская ,16–20,nan,Агентство,200000,nan
Квартира-студия,24,3,5,nan,nan,р-н Московский,Агентство,20000,nan
3-к. квартира,110,2,5,Лиговский проспект ,6–10,nan,Агентство,150000,nan
2-к. квартира,60,7,12,Площадь А Невского II ,11–15,nan,Агентство,67000,nan
1-к. квартира,34,5,10,Проспект Большевиков ,11–15,nan,Агентство,29000,nan
1-к. апартаменты,43,5,13,Фрунзенская ,6–10,nan,Агентство,59900,nan
1-к. квартира,40.4,3,5,Проспект Просвещения ,21–30,nan,Агентство,32500,nan
1-к. квартира,30.5,13,25,nan,nan,р-н Красногвардейский,Агентство,22000,nan
3-к. квартира,88,3,8,Московская ,16–20,nan,Агентство,60000,nan
3-к. квартира,85,22,25,Парнас ,6–10,nan,Агентство,38000,nan
1-к. квартира,38,22,25,Купчино ,11–15,nan,Агентство,50000,nan
1-к. квартира,42,14,16,Удельная ,21–30,nan,Агентство,25000,nan
1-к. квартира,42,4,17,Звёздная ,21–30,nan,Агентство,30000,nan
3-к. квартира,91,15,16,Комендантский проспект ,21–30,nan,Агентство,65000,nan
3-к. квартира,90,3,10,Гражданский проспект ,5,nan,Агентство,70000,nan
3-к. квартира,78,6,14,Фрунзенская ,6–10,nan,Агентство,82000,nan
3-к. квартира,64,14,14,Озерки ,31,nan,Агентство,55000,nan
3-к. квартира,95,3,5,Маяковская ,5,nan,Агентство,79900,nan
Квартира-студия,38,16,23,Проспект Просвещения ,16–20,nan,Агентство,25000,nan
1-к. квартира,42,3,9,Площадь А Невского II ,11–15,nan,Агентство,45000,nan
1-к. квартира,36,4,12,nan,nan,р-н Приморский,Агентство,26000,nan
3-к. квартира,130,5,9,Чернышевская ,31,nan,Агентство,250000,nan
3-к. квартира,75,3,5,Площадь Восстания ,11–15,nan,Агентство,85000,nan
Квартира-студия,21,5,25,Озерки ,31,nan,Агентство,18000,nan
Квартира-студия,25,14,25,Комендантский проспект ,31,nan,Агентство,25000,nan
Квартира-студия,34,9,26,Парнас ,31,nan,Агентство,23000,nan
1-к. квартира,35,15,17,Комендантский проспект ,21–30,nan,Агентство,23000,nan
1-к. квартира,37.7,3,9,Пионерская ,11–15,nan,Агентство,25000,nan
1-к. квартира,39,12,12,nan,nan,р-н Красносельский,Агентство,25000,nan
2-к. квартира,69.2,6,13,Проспект Славы ,6–10,nan,Агентство,50000,nan
Квартира-студия,21,2,26,Парнас ,31,nan,Агентство,21000,nan
3-к. квартира,105,7,10,Удельная ,6–10,nan,Агентство,100000,nan
1-к. квартира,32.8,9,12,Парк Победы ,21–30,nan,Агентство,35000,nan
2-к. квартира,65,12,26,Парнас ,6–10,nan,Агентство,30000,nan
1-к. квартира,36,23,25,Купчино ,6–10,nan,Агентство,36000,nan
3-к. квартира,186,3,5,Чернышевская ,11–15,nan,Агентство,160000,nan
Квартира-студия,24,17,22,Звёздная ,16–20,nan,Агентство,35000,nan
2-к. квартира,60,12,16,Проспект Просвещения ,21–30,nan,Агентство,29000,nan
Квартира-студия,26,2,10,Московские ворота ,5,nan,Агентство,55000,nan
2-к. квартира,52.8,4,5,Парк Победы ,11–15,nan,Агентство,55000,nan
2-к. квартира,57.1,19,19,Фрунзенская ,6–10,nan,Агентство,60000,nan
3-к. квартира,100,2,4,Выборгская ,6–10,nan,Агентство,54000,nan
2-к. квартира,42,4,5,Новочеркасская ,6–10,nan,Агентство,40000,nan
1-к. квартира,34,6,9,Проспект Большевиков ,16–20,nan,Агентство,25000,nan
2-к. квартира,70,7,13,Петроградская ,11–15,nan,Агентство,60000,nan
1-к. квартира,41,4,5,nan,nan,р-н Красносельский,Агентство,28000,nan
1-к. квартира,34,11,17,Беговая ,16–20,nan,Агентство,24000,nan
2-к. квартира,67,10,20,nan,nan,р-н Красносельский,Агентство,45000,nan
3-к. квартира,95,5,5,Площадь Восстания ,6–10,nan,Агентство,90000,nan
Квартира-студия,27,5,8,Старая деревня ,11–15,nan,Агентство,39000,nan
3-к. квартира,70,5,6,Парк Победы ,5,nan,Агентство,80000,nan
1-к. квартира,40,6,12,Беговая ,21–30,nan,Агентство,55000,nan
1-к. квартира,38,9,9,Гражданский проспект ,31,nan,Агентство,25000,nan
3-к. квартира,80,2,5,Чкаловская ,11–15,nan,Агентство,80000,nan
5-к. квартира,240,3,5,Адмиралтейская ,11–15,nan,Агентство,200000,nan
Апартаменты-студия,27,10,11,Приморская ,21–30,nan,Агентство,42000,nan
1-к. квартира,49.3,14,16,Беговая ,5,nan,Агентство,42000,nan
1-к. квартира,32,12,13,Лесная ,16–20,nan,Агентство,30000,nan
2-к. квартира,56,6,10,Крестовский остров ,21–30,nan,Агентство,100000,nan
3-к. квартира,117,6,10,Удельная ,16–20,nan,Агентство,85000,nan
1-к. квартира,41,17,17,Звёздная ,16–20,nan,Агентство,28000,nan
3-к. квартира,85,2,3,Василеостровская ,5,nan,Агентство,70000,nan
3-к. квартира,98,3,5,Горьковская ,6–10,nan,Агентство,60000,nan
1-к. квартира,47,2,5,nan,nan,Пушкин,Агентство,30000,nan
3-к. квартира,60,3,4,Василеостровская ,5,nan,Агентство,65000,nan
3-к. квартира,134,2,8,Петроградская ,11–15,nan,Агентство,200000,nan
2-к. квартира,52,2,5,Ладожская ,31,nan,Агентство,38500,nan
3-к. квартира,101,16,16,Рыбацкое ,21–30,nan,Агентство,50000,nan
2-к. квартира,60,10,12,Приморская ,16–20,nan,Агентство,64999,nan
2-к. квартира,56,4,9,Проспект Ветеранов ,6–10,nan,Агентство,30000,nan
1-к. квартира,38,7,9,nan,nan,р-н Красносельский,Агентство,20000,nan
1-к. квартира,33.2,3,9,Ладожская ,21–30,nan,Агентство,25000,nan
1-к. квартира,33.2,3,9,Ладожская ,21–30,nan,Агентство,25000,nan
2-к. апартаменты,80,3,4,Адмиралтейская ,11–15,nan,Агентство,110000,nan
1-к. квартира,58,6,8,Чкаловская ,5,nan,Агентство,100000,nan
3-к. квартира,92,10,17,Проспект Славы ,16–20,nan,Агентство,40000,nan
2-к. квартира,44.8,5,5,Улица Дыбенко ,5,nan,Агентство,30000,nan
1-к. квартира,35,5,5,Балтийская ,11–15,nan,Агентство,125000,nan
3-к. квартира,100,22,25,Проспект Славы ,6–10,nan,Агентство,100000,nan
2-к. квартира,35.5,2,12,Академическая ,31,nan,Агентство,26000,nan
Апартаменты-студия,38,8,11,Приморская ,21–30,nan,Агентство,49800,nan
1-к. квартира,33,7,9,Ладожская ,31,nan,Агентство,21000,nan
1-к. квартира,38,3,12,Комендантский проспект ,21–30,nan,Агентство,38500,nan
4-к. квартира,128,1,3,Садовая ,5,nan,Агентство,105000,nan
2-к. квартира,68,4,4,Чернышевская ,5,nan,Агентство,88000,nan
1-к. квартира,30,5,9,Озерки ,6–10,nan,Агентство,23000,nan
2-к. квартира,60,4,23,Обухово ,31,nan,Агентство,32000,nan
3-к. квартира,88,3,8,Московская ,16–20,nan,Агентство,60000,nan
3-к. квартира,120,7,7,Площадь А Невского II ,6–10,nan,Агентство,90000,nan
1-к. квартира,35,2,8,nan,nan,р-н Красносельский,Агентство,25000,nan
2-к. квартира,65,4,9,Комендантский проспект ,16–20,nan,Агентство,34000,nan
2-к. квартира,56.8,6,8,nan,nan,пос. Песочный,Агентство,35000,nan
2-к. квартира,44,2,5,Электросила ,16–20,nan,Агентство,30000,nan
4-к. квартира,150,1,4,Адмиралтейская ,11–15,nan,Агентство,100000,nan
2-к. квартира,46,11,26,Парнас ,21–30,nan,Агентство,27000,nan
2-к. квартира,90,3,5,Адмиралтейская ,6–10,nan,Агентство,65000,nan
Квартира-студия,24.2,6,9,nan,nan,р-н Красносельский,Агентство,18000,nan
2-к. квартира,43.5,3,11,Площадь А Невского II ,16–20,nan,Агентство,73000,nan
2-к. квартира,53,23,27,Парнас ,31,nan,Агентство,35000,nan
2-к. квартира,52,9,9,Пионерская ,11–15,nan,Агентство,33000,nan
1-к. квартира,37,10,24,Обухово ,31,nan,Агентство,28500,nan
2-к. квартира,85,8,10,Петроградская ,5,nan,Агентство,100000,nan
2-к. квартира,66,11,24,Проспект Славы ,16–20,nan,Агентство,43000,nan
3-к. квартира,90,5,22,Удельная ,11–15,nan,Агентство,50000,nan
2-к. квартира,71,5,9,Парк Победы ,11–15,nan,Агентство,55000,nan
Апартаменты-студия,25,17,20,Парнас ,11–15,nan,Агентство,20000,nan
2-к. квартира,68,6,9,Приморская ,11–15,nan,Агентство,75000,nan
1-к. квартира,45,6,12,Московская ,21–30,nan,Агентство,30000,nan
3-к. квартира,122,22,25,Комендантский проспект ,31,nan,Агентство,55000,nan
2-к. квартира,45,3,5,Улица Дыбенко ,16–20,nan,Агентство,39500,nan
2-к. квартира,86,2,5,Маяковская ,6–10,nan,Агентство,65000,nan
Квартира-студия,28,9,24,Комендантский проспект ,31,nan,Агентство,22000,nan
4-к. квартира,108.6,21,22,nan,nan,р-н Красносельский,Агентство,100000,nan
3-к. апартаменты,78,2,6,nan,nan,Сестрорецк,Агентство,90000,nan
3-к. квартира,110,4,5,Невский проспект ,6–10,nan,Агентство,95000,nan
5-к. квартира,369,5,5,Петроградская ,6–10,nan,Агентство,620000,nan
2-к. квартира,80,3,13,Чернышевская ,16–20,nan,Агентство,75000,nan
2-к. квартира,65,2,17,Пионерская ,11–15,nan,Агентство,60000,nan
Квартира-студия,27,11,12,Комендантский проспект ,31,nan,Агентство,28500,nan
3-к. квартира,97,6,8,Горьковская ,6–10,nan,Агентство,85000,nan
3-к. квартира,80,2,23,Пролетарская ,5,nan,Агентство,65000,nan
1-к. квартира,50,14,15,Новочеркасская ,11–15,nan,Агентство,62000,nan
1-к. апартаменты,38,6,6,nan,nan,Сестрорецк,Агентство,55000,nan
Квартира-студия,23,18,24,Комендантский проспект ,31,nan,Агентство,21369,nan
3-к. квартира,85.8,4,7,Площадь Восстания ,11–15,nan,Агентство,80000,nan
1-к. апартаменты,35,6,10,Лиговский проспект ,6–10,nan,Агентство,57990,nan
4-к. квартира,108,3,6,Горьковская ,11–15,nan,Агентство,105000,nan
3-к. квартира,80,2,5,Чкаловская ,11–15,nan,Агентство,80000,nan
1-к. квартира,35,16,24,nan,nan,р-н Приморский,Агентство,24900,nan
1-к. квартира,41,4,16,Проспект Ветеранов ,31,nan,Агентство,18000,nan
1-к. квартира,34.9,5,27,Парнас ,21–30,nan,Агентство,23000,nan
3-к. квартира,80,4,5,Звенигородская ,6–10,nan,Агентство,62000,nan
3-к. квартира,75,2,8,Чернышевская ,31,nan,Агентство,150000,nan
3-к. квартира,105,6,6,Ломоносовская ,5,nan,Агентство,50000,nan
2-к. квартира,45,5,5,Проспект Ветеранов ,11–15,nan,Агентство,25000,nan
2-к. квартира,71.9,13,18,Комендантский проспект ,5,nan,Агентство,45000,nan
3-к. квартира,91,1,8,Парк Победы ,11–15,nan,Агентство,79000,nan
2-к. квартира,56,8,9,Ладожская ,31,nan,Агентство,36000,nan
1-к. квартира,52,2,10,Площадь Ленина ,31,nan,Агентство,70000,nan
1-к. квартира,36,11,25,Старая деревня ,6–10,nan,Агентство,37000,nan
1-к. квартира,40,6,18,Гражданский проспект ,31,nan,Агентство,25000,nan
4-к. квартира,224.3,3,5,Технологический инт I ,6–10,nan,Агентство,115000,nan
2-к. квартира,69.5,7,17,Рыбацкое ,31,nan,Агентство,30000,nan
1-к. квартира,40.5,7,24,Купчино ,31,nan,Агентство,19000,nan
3-к. квартира,120,5,6,Площадь Восстания ,6–10,nan,Агентство,80000,nan
5-к. квартира,240,3,5,Адмиралтейская ,11–15,nan,Агентство,200000,nan
1-к. квартира,36,9,22,Проспект Большевиков ,11–15,nan,Агентство,24000,nan
3-к. квартира,110,4,4,Площадь Восстания ,5,nan,Агентство,80000,nan
5-к. квартира,29,5,5,Академическая ,11–15,nan,Агентство,20000,nan
1-к. квартира,50.8,1,8,Чкаловская ,11–15,nan,Агентство,140000,nan
8-к. квартира,350,3,3,Крестовский остров ,6–10,nan,Агентство,285000,nan
5-к. квартира,122,3,4,Площадь А Невского I ,11–15,nan,Агентство,60000,nan
2-к. квартира,90,3,5,Адмиралтейская ,6–10,nan,Агентство,65000,nan
6-к. квартира,115,4,5,Сенная площадь ,5,nan,Агентство,130000,nan
3-к. квартира,109,3,12,Чкаловская ,6–10,nan,Агентство,145000,nan
Квартира-студия,24,8,12,nan,nan,р-н Красносельский,Агентство,24000,nan
3-к. квартира,96.6,1,6,Парнас ,31,nan,Агентство,69000,nan
3-к. квартира,87,1,6,nan,nan,Сестрорецк,Агентство,42000,nan
Квартира-студия,23.2,1,12,Проспект Просвещения ,31,nan,Агентство,18999,nan
Апартаменты-студия,27,4,11,Площадь Мужества ,6–10,nan,Агентство,50000,nan
2-к. квартира,85.4,2,8,Старая деревня ,21–30,nan,Агентство,62000,nan
1-к. квартира,41,6,19,Фрунзенская ,6–10,nan,Агентство,40000,nan
2-к. квартира,54,2,3,Беговая ,31,nan,Агентство,87000,nan
Квартира-студия,24.6,5,12,nan,nan,р-н Красносельский,Агентство,15000,nan
4-к. квартира,120,2,5,Технологический инт I ,5,nan,Агентство,70000,nan
2-к. квартира,46,5,5,Ломоносовская ,16–20,nan,Агентство,28000,nan
3-к. квартира,70,2,7,Чернышевская ,21–30,nan,Агентство,70000,nan
Квартира-студия,26,11,19,Пионерская ,11–15,nan,Агентство,40000,nan
3-к. квартира,80,2,4,Сенная площадь ,6–10,nan,Агентство,89900,nan
2-к. квартира,48,2,7,Парк Победы ,11–15,nan,Агентство,35000,nan
1-к. квартира,32,2,5,Приморская ,31,nan,Агентство,35000,nan
1-к. квартира,59.5,3,10,Василеостровская ,16–20,nan,Агентство,60000,nan
2-к. квартира,48,2,7,Парк Победы ,11–15,nan,Агентство,35000,nan
1-к. квартира,32,2,5,Приморская ,31,nan,Агентство,35000,nan
1-к. квартира,59.5,3,10,Василеостровская ,16–20,nan,Агентство,60000,nan
4-к. квартира,250,3,3,nan,nan,Сестрорецк,Агентство,250000,nan
1-к. квартира,45,13,19,Московская ,11–15,nan,Агентство,35000,nan
3-к. квартира,92,5,10,Комендантский проспект ,31,nan,Агентство,50000,nan
Апартаменты-студия,25,7,17,Старая деревня ,11–15,nan,Агентство,34000,nan
3-к. квартира,107,5,10,Чкаловская ,16–20,nan,Агентство,140000,nan
1-к. квартира,38,12,16,Удельная ,21–30,nan,Агентство,27000,nan
1-к. квартира,32,11,24,Комендантский проспект ,21–30,nan,Агентство,25000,nan
1-к. квартира,65,3,8,Чернышевская ,6–10,nan,Агентство,120000,nan
1-к. квартира,31,1,5,nan,nan,Сестрорецк,Агентство,35000,nan
2-к. квартира,135,3,4,Сенная площадь ,5,nan,Агентство,90000,nan
1-к. квартира,35,3,20,Елизаровская ,11–15,nan,Агентство,35000,nan
1-к. квартира,42,16,17,Озерки ,21–30,nan,Агентство,20000,nan
2-к. квартира,58,21,24,Парнас ,6–10,nan,Агентство,25000,nan
1-к. квартира,53.7,3,4,nan,nan,Сестрорецк,Агентство,50000,nan
7-к. квартира,324,8,8,Василеостровская ,5,nan,Агентство,250000,nan
3-к. квартира,80,32,36,Обухово ,21–30,nan,Агентство,65000,nan
3-к. квартира,87.4,1,3,Беговая ,31,nan,Агентство,150000,nan
3-к. квартира,65,5,7,Нарвская ,5,nan,Агентство,55000,nan
2-к. квартира,78,5,7,Чкаловская ,5,nan,Агентство,60000,nan
2-к. квартира,71,5,9,Парк Победы ,11–15,nan,Агентство,55000,nan
1-к. квартира,35,8,18,Звёздная ,31,nan,Агентство,23000,nan
Апартаменты-студия,25.4,12,12,Площадь Мужества ,6–10,nan,Агентство,27500,nan
1-к. квартира,35,8,8,nan,nan,р-н Красносельский,Агентство,26000,nan
1-к. квартира,25,6,8,Автово ,16–20,nan,Агентство,24000,nan
1-к. квартира,48,8,17,Улица Дыбенко ,11–15,nan,Агентство,28000,nan
3-к. квартира,92,13,25,Гражданский проспект ,11–15,nan,Агентство,65000,nan
Квартира-студия,47,5,8,Площадь А Невского I ,6–10,nan,Агентство,70000,nan
2-к. квартира,44.8,5,5,Улица Дыбенко ,5,nan,Агентство,30000,nan
3-к. квартира,89,6,6,Гостиный двор ,5,nan,Агентство,74000,nan
1-к. квартира,42,8,17,Проспект Большевиков ,16–20,nan,Агентство,35000,nan
1-к. квартира,30,1,12,Озерки ,6–10,nan,Агентство,29000,nan
2-к. квартира,70,3,8,Академическая ,11–15,nan,Агентство,50500,nan
2-к. квартира,70,9,17,Площадь Мужества ,21–30,nan,Агентство,60000,nan
2-к. квартира,69.4,5,9,Удельная ,6–10,nan,Агентство,45000,nan
3-к. квартира,130,5,9,Горьковская ,6–10,nan,Агентство,150000,nan
2-к. квартира,75,9,16,Рыбацкое ,6–10,nan,Агентство,45000,nan
2-к. квартира,53,3,5,nan,nan,пос. Молодёжное,Агентство,30000,nan
3-к. квартира,60,5,5,Политехническая ,6–10,nan,Агентство,30000,nan
2-к. квартира,82.1,13,21,Звёздная ,6–10,nan,Агентство,45000,nan
4-к. квартира,100,4,6,Садовая ,5,nan,Агентство,140000,nan
3-к. квартира,70,6,16,Пионерская ,16–20,nan,Агентство,40000,nan
1-к. квартира,47,9,9,Чкаловская ,6–10,nan,Агентство,75000,nan
1-к. квартира,32.2,15,26,Парнас ,21–30,nan,Агентство,27000,nan
2-к. квартира,60,3,20,Приморская ,6–10,nan,Агентство,59900,nan
1-к. квартира,35,5,12,Лесная ,11–15,nan,Агентство,50000,nan
2-к. квартира,107,11,12,Новочеркасская ,11–15,nan,Агентство,95000,nan
2-к. квартира,53,3,5,Лесная ,6–10,nan,Агентство,43000,nan
1-к. квартира,53,2,5,Адмиралтейская ,6–10,nan,Агентство,65000,nan
2-к. квартира,70,3,10,Чкаловская ,16–20,nan,Агентство,120000,nan
4-к. квартира,145,7,10,Приморская ,16–20,nan,Агентство,170000,nan
1-к. апартаменты,55,2,22,nan,nan,Сестрорецк,Агентство,47000,nan
3-к. квартира,91,2,4,Чернышевская ,5,nan,Агентство,75000,nan
3-к. квартира,73,6,14,Фрунзенская ,6–10,nan,Агентство,82000,nan
4-к. квартира,160,5,7,Чернышевская ,16–20,nan,Агентство,200000,nan
4-к. апартаменты,192,3,5,Адмиралтейская ,11–15,nan,Агентство,170000,nan
2-к. квартира,65,14,14,Фрунзенская ,6–10,nan,Агентство,75000,nan
2-к. квартира,80,6,17,Парк Победы ,16–20,nan,Агентство,55000,nan
1-к. квартира,49,3,16,Московская ,11–15,nan,Агентство,38000,nan
2-к. апартаменты,39,6,24,Звёздная ,16–20,nan,Агентство,45000,nan
4-к. квартира,101,22,25,Московская ,16–20,nan,Агентство,100000,nan
4-к. квартира,180,2,2,Адмиралтейская ,11–15,nan,Агентство,150000,nan
3-к. квартира,100,2,5,nan,nan,Колпино,Агентство,35000,nan
1-к. квартира,35,2,5,Владимирская ,5,nan,Агентство,60000,nan
3-к. квартира,78.8,3,6,Сенная площадь ,6–10,nan,Агентство,55000,nan
3-к. квартира,110.6,3,18,Комендантский проспект ,6–10,nan,Агентство,55000,nan
1-к. квартира,36,9,9,Гражданский проспект ,5,nan,Агентство,22000,nan
3-к. квартира,70,11,14,Гражданский проспект ,16–20,nan,Агентство,35000,nan
2-к. квартира,50,2,9,Политехническая ,21–30,nan,Агентство,45000,nan
1-к. квартира,32,10,24,Комендантский проспект ,31,nan,Агентство,25000,nan
1-к. квартира,56,2,7,Площадь Восстания ,11–15,nan,Агентство,65000,nan
Квартира-студия,23,1,5,nan,nan,пос. Шушары,Агентство,26000,nan
1-к. квартира,31,2,24,Обухово ,31,nan,Агентство,18000,nan
3-к. квартира,79,14,24,Московская ,6–10,nan,Агентство,110000,nan
1-к. квартира,30,7,24,Комендантский проспект ,31,nan,Агентство,25000,nan
4-к. квартира,115,4,17,Электросила ,16–20,nan,Агентство,150000,nan
2-к. квартира,42,3,5,Ладожская ,31,nan,Агентство,38500,nan
6-к. квартира,75,4,7,Площадь Восстания ,6–10,nan,Агентство,125000,nan
Квартира-студия,25,10,17,Комендантский проспект ,31,nan,Агентство,23000,nan
4-к. квартира,232,2,5,Адмиралтейская ,11–15,nan,Агентство,300000,nan
2-к. квартира,75,12,18,Площадь Ленина ,11–15,nan,Агентство,100000,nan
6-к. квартира,266.2,6,8,Чернышевская ,31,nan,Агентство,750000,nan
3-к. квартира,75,3,9,Политехническая ,11–15,nan,Агентство,60000,nan
2-к. квартира,82,5,7,Звенигородская ,5,nan,Агентство,45000,nan
2-к. квартира,45,5,5,nan,nan,пос. при железнодорожной станции Приветнинское,Агентство,30000,nan
3-к. квартира,82,6,26,Парнас ,6–10,nan,Агентство,45000,nan
1-к. квартира,32.6,14,29,Парнас ,21–30,nan,Агентство,25000,nan
3-к. квартира,119,3,12,Чкаловская ,11–15,nan,Агентство,145000,nan
1-к. квартира,52,3,7,Удельная ,16–20,nan,Агентство,45000,nan
1-к. квартира,36.2,23,25,Парнас ,11–15,nan,Агентство,24000,nan
Квартира-студия,30,6,22,Беговая ,5,nan,Агентство,38000,nan
2-к. квартира,45,3,5,Гражданский проспект ,11–15,nan,Агентство,30000,nan
Квартира-студия,31.8,23,26,Парнас ,21–30,nan,Агентство,21000,nan
1-к. квартира,30,5,9,Академическая ,6–10,nan,Агентство,26000,nan
3-к. квартира,72,4,5,Обводный канал ,5,nan,Агентство,70000,nan
3-к. квартира,150,2,4,Площадь Ленина ,16–20,nan,Агентство,190000,nan
3-к. квартира,100,2,4,Маяковская ,5,nan,Агентство,75000,nan
3-к. квартира,100,4,8,Чернышевская ,31,nan,Агентство,145000,nan
3-к. квартира,120,2,7,Петроградская ,11–15,nan,Агентство,110000,nan
3-к. квартира,52,2,12,Гражданский проспект ,21–30,nan,Агентство,38000,nan
4-к. квартира,108,10,13,Лесная ,11–15,nan,Агентство,50000,nan
4-к. квартира,100.5,9,16,Приморская ,16–20,nan,Агентство,95000,nan
1-к. квартира,42,11,12,Комендантский проспект ,31,nan,Агентство,30000,nan
1-к. квартира,33,24,24,Парнас ,11–15,nan,Агентство,25000,nan
1-к. квартира,40,6,12,nan,nan,Колпино,Агентство,19500,nan
3-к. квартира,65,7,9,Парнас ,21–30,nan,Агентство,50000,nan
6-к. квартира,329,4,4,Чернышевская ,16–20,nan,Агентство,400000,nan
4-к. квартира,192,2,5,Невский проспект ,6–10,nan,Агентство,385000,nan
Апартаменты-студия,50,1,4,nan,nan,Пушкин,Агентство,90000,nan
Квартира-студия,25,5,5,Проспект Просвещения ,21–30,nan,Агентство,20000,nan
1-к. квартира,45,2,12,Площадь А Невского II ,11–15,nan,Агентство,40000,nan
4-к. квартира,140,5,6,Чкаловская ,11–15,nan,Агентство,160000,nan
3-к. квартира,90,3,4,Достоевская ,5,nan,Агентство,85000,nan
3-к. квартира,90,9,12,Беговая ,16–20,nan,Агентство,50000,nan
2-к. квартира,51,2,3,nan,nan,Пушкин,Агентство,22000,nan
2-к. квартира,63.1,4,7,Крестовский остров ,11–15,nan,Агентство,165000,nan
7-к. квартира,303,5,6,Чернышевская ,6–10,nan,Агентство,280000,nan
1-к. квартира,30,4,9,Политехническая ,16–20,nan,Агентство,20000,nan
2-к. квартира,50,2,5,Московская ,16–20,nan,Агентство,30000,nan
Квартира-студия,32,9,22,Электросила ,16–20,nan,Агентство,40000,nan
1-к. квартира,41,11,13,Площадь Ленина ,31,nan,Агентство,60000,nan
3-к. квартира,72,5,9,Купчино ,16–20,nan,Агентство,40000,nan
1-к. квартира,45,3,10,Проспект Ветеранов ,6–10,nan,Агентство,28000,nan
3-к. квартира,156,3,5,Чернышевская ,6–10,nan,Агентство,220000,nan
1-к. квартира,38,2,19,Комендантский проспект ,31,nan,Агентство,30000,nan
1-к. квартира,47,4,5,Маяковская ,5,nan,Агентство,70000,nan
3-к. квартира,83,15,16,Рыбацкое ,31,nan,Агентство,35000,nan
2-к. квартира,76,21,22,nan,nan,р-н Красносельский,Агентство,80000,nan
3-к. квартира,107,11,21,Старая деревня ,6–10,nan,Агентство,110000,nan
2-к. квартира,50,3,5,nan,nan,пос. Ильичёво,Агентство,26000,nan
3-к. квартира,168,4,5,Чернышевская ,21–30,nan,Агентство,100000,nan
2-к. квартира,53,7,16,Проспект Просвещения ,11–15,nan,Агентство,30000,nan
1-к. квартира,37,4,10,nan,nan,р-н Красносельский,Агентство,27500,nan
Квартира-студия,25.5,26,26,Парнас ,16–20,nan,Агентство,23000,nan
Квартира-студия,22,19,19,Комендантский проспект ,31,nan,Агентство,45000,nan
1-к. квартира,50,5,7,Проспект Просвещения ,11–15,nan,Агентство,35000,nan
3-к. квартира,90,2,4,Сенная площадь ,6–10,nan,Агентство,55000,nan
1-к. квартира,37,7,16,Проспект Просвещения ,16–20,nan,Агентство,33000,nan
2-к. квартира,80,4,5,Гостиный двор ,6–10,nan,Агентство,70000,nan
