Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
1-к. квартира,36,3,6,nan,nan,д. Малое Карлино,Собственник,20000,nan
1-к. квартира,37,4,8,Площадь Мужества ,11–15,nan,Собственник,28000,nan
1-к. квартира,35.6,6,10,Гражданский проспект ,21–30,nan,Собственник,25000,nan
1-к. квартира,36,19,19,Парнас ,11–15,nan,Собственник,33000,nan
1-к. квартира,37,8,16,Выборгская ,21–30,nan,Собственник,32000,nan
2-к. квартира,45,5,5,Московская ,16–20,nan,Собственник,27000,nan
2-к. квартира,58,4,14,Площадь Мужества ,31,nan,Собственник,37000,nan
1-к. квартира,45,2,9,Лесная ,11–15,nan,Собственник,59000,nan
1-к. квартира,47,2,5,Маяковская ,11–15,nan,Собственник,39000,nan
Квартира-студия,25,5,7,nan,nan,пос. Шушары,Собственник,18000,nan
3-к. квартира,69,7,9,Улица Дыбенко ,21–30,nan,Собственник,40000,nan
Квартира-студия,24.4,2,4,nan,nan,р-н Красносельский,Собственник,22000,nan
2-к. квартира,44.7,4,5,Выборгская ,31,nan,Собственник,38999,nan
2-к. квартира,46,2,25,Рыбацкое ,31,nan,Собственник,30000,nan
1-к. квартира,34,12,16,Комендантский проспект ,21–30,nan,Собственник,25000,nan
3-к. квартира,75,2,3,Василеостровская ,6–10,nan,Собственник,65000,nan
3-к. квартира,40,5,5,Ленинский проспект ,11–15,nan,Собственник,30000,nan
1-к. квартира,34.1,18,24,Проспект Славы ,16–20,nan,Собственник,35000,nan
2-к. квартира,73,4,12,nan,nan,р-н Красносельский,Собственник,75000,nan
2-к. квартира,65,3,4,Площадь Восстания ,6–10,nan,Собственник,54999,nan
Квартира-студия,25,4,5,nan,nan,р-н Московский,Собственник,20000,nan
1-к. квартира,34.1,18,24,Проспект Славы ,16–20,nan,Собственник,35000,nan
2-к. квартира,45,2,5,nan,nan,Петергоф,Собственник,25000,nan
3-к. квартира,70,4,5,Чкаловская ,5,nan,Собственник,90000,nan
2-к. квартира,60,14,15,Звёздная ,31,nan,Собственник,55000,nan
1-к. квартира,31,5,5,nan,nan,пос. Шушары,Собственник,18500,nan
Квартира-студия,24,9,16,Площадь Мужества ,31,nan,Собственник,23000,nan
Квартира-студия,21,15,25,Озерки ,31,nan,Собственник,20000,nan
1-к. квартира,30,2,5,nan,nan,р-н Красносельский,Собственник,22000,nan
1-к. квартира,45,1,18,Академическая ,16–20,nan,Собственник,35000,nan
1-к. квартира,32,2,14,Елизаровская ,31,nan,Собственник,29000,nan
1-к. квартира,37.4,11,17,Звёздная ,21–30,nan,Собственник,37000,nan
2-к. квартира,55,20,25,Комендантский проспект ,31,nan,Собственник,43000,nan
Апартаменты-студия,18,7,19,Купчино ,5,nan,Собственник,25000,nan
1-к. квартира,31.2,1,20,Комендантский проспект ,31,nan,Собственник,28000,nan
1-к. квартира,40,5,14,Лесная ,11–15,nan,Собственник,40000,nan
2-к. квартира,68,13,24,Звёздная ,6–10,nan,Собственник,54000,nan
2-к. квартира,48,9,9,Улица Дыбенко ,16–20,nan,Собственник,35000,nan
2-к. апартаменты,44,5,8,Площадь Восстания ,6–10,nan,Собственник,70000,nan
1-к. квартира,36,12,12,Проспект Просвещения ,31,nan,Собственник,25000,nan
3-к. квартира,86,2,6,Приморская ,21–30,nan,Собственник,55000,nan
3-к. квартира,80,3,5,nan,nan,пос. Парголово,Собственник,30000,nan
1-к. квартира,34,16,16,nan,nan,пос. Новогорелово,Собственник,20000,nan
1-к. квартира,34,15,20,Электросила ,11–15,nan,Собственник,40000,nan
2-к. квартира,57,7,15,Комендантский проспект ,11–15,nan,Собственник,40000,nan
2-к. квартира,55,8,12,Бухарестская ,21–30,nan,Собственник,50000,nan
2-к. квартира,66.5,11,16,Проспект Ветеранов ,31,nan,Собственник,40000,nan
Квартира-студия,32,4,20,Девяткино ,21–30,nan,Собственник,25000,nan
3-к. квартира,84,3,15,nan,nan,пос. Парголово,Собственник,27000,nan
2-к. квартира,51,3,5,Маяковская ,5,nan,Собственник,57000,nan
1-к. квартира,55,5,25,Беговая ,11–15,nan,Собственник,55000,nan
Квартира-студия,25.2,3,15,nan,nan,р-н Красносельский,Собственник,18000,nan
1-к. квартира,40,11,14,Проспект Ветеранов ,31,nan,Собственник,29000,nan
Квартира-студия,27,25,35,Обухово ,21–30,nan,Собственник,22000,nan
1-к. апартаменты,49,5,6,nan,nan,Сестрорецк,Собственник,80000,nan
Квартира-студия,30,2,5,Московская ,11–15,nan,Собственник,36000,nan
3-к. квартира,62,1,9,Проспект Славы ,6–10,nan,Собственник,34000,nan
Квартира-студия,30,5,10,nan,nan,р-н Красносельский,Собственник,27000,nan
2-к. квартира,33,5,8,nan,nan,р-н Красносельский,Собственник,25000,nan
3-к. квартира,78,9,13,Комендантский проспект ,31,nan,Собственник,51000,nan
2-к. квартира,67,4,5,Чкаловская ,6–10,nan,Собственник,70000,nan
2-к. квартира,50,5,5,Площадь Восстания ,6–10,nan,Собственник,60000,nan
2-к. квартира,54,11,13,Академическая ,31,nan,Собственник,35000,nan
2-к. квартира,63.5,12,16,nan,nan,пос. Новогорелово,Собственник,28000,nan
2-к. квартира,48.1,4,9,Проспект Просвещения ,6–10,nan,Собственник,35000,nan
1-к. квартира,51.1,5,18,Улица Дыбенко ,6–10,nan,Собственник,35000,nan
Квартира-студия,29,14,15,Елизаровская ,31,nan,Собственник,30000,nan
1-к. квартира,42,1,6,Невский проспект ,5,nan,Собственник,50000,nan
1-к. квартира,39,6,10,Площадь А Невского II ,16–20,nan,Собственник,42000,nan
3-к. квартира,66,3,7,Нарвская ,6–10,nan,Собственник,45000,nan
1-к. квартира,42,4,16,Приморская ,16–20,nan,Собственник,30000,nan
2-к. квартира,69,3,5,Ладожская ,31,nan,Собственник,35000,nan
1-к. квартира,32,18,24,Купчино ,31,nan,Собственник,25000,nan
1-к. квартира,48,10,21,Пролетарская ,16–20,nan,Собственник,42000,nan
1-к. квартира,36,4,17,Ленинский проспект ,5,nan,Собственник,23000,nan
2-к. квартира,54,8,17,Приморская ,31,nan,Собственник,50000,nan
1-к. квартира,30,14,24,Комендантский проспект ,31,nan,Собственник,25000,nan
3-к. квартира,150,7,9,Горьковская ,11–15,nan,Собственник,150000,nan
Квартира-студия,25.2,5,20,nan,nan,р-н Красносельский,Собственник,20000,nan
Квартира-студия,24,11,11,Старая деревня ,6–10,nan,Собственник,40000,nan
1-к. квартира,41,8,22,Проспект Ветеранов ,21–30,nan,Собственник,30000,nan
1-к. квартира,45,5,8,Чкаловская ,5,nan,Собственник,65000,nan
1-к. квартира,55.5,5,7,Новочеркасская ,6–10,nan,Собственник,70000,nan
3-к. квартира,138,11,14,Приморская ,16–20,nan,Собственник,90000,nan
1-к. квартира,32,21,23,Комендантский проспект ,31,nan,Собственник,29000,nan
1-к. квартира,30,24,25,nan,nan,р-н Красногвардейский,Собственник,20000,nan
1-к. квартира,33,3,9,nan,nan,р-н Красносельский,Собственник,19000,nan
1-к. квартира,35,3,7,Балтийская ,16–20,nan,Собственник,23000,nan
2-к. квартира,42,5,9,Нарвская ,31,nan,Собственник,39000,nan
2-к. квартира,44,2,5,Приморская ,5,nan,Собственник,35000,nan
Квартира-студия,26,4,5,nan,nan,р-н Московский,Собственник,20000,nan
Квартира-студия,24.3,7,8,nan,nan,р-н Красносельский,Собственник,16000,nan
3-к. квартира,120,4,5,nan,nan,Сестрорецк,Собственник,50000,nan
2-к. квартира,40,3,4,Площадь Ленина ,6–10,nan,Собственник,40000,nan
1-к. квартира,32,5,17,Приморская ,31,nan,Собственник,35000,nan
3-к. квартира,59,5,5,Чёрная речка ,11–15,nan,Собственник,39999,nan
2-к. апартаменты,60,1,6,nan,nan,Сестрорецк,Собственник,70000,nan
Квартира-студия,25,7,22,Беговая ,21–30,nan,Собственник,28000,nan
3-к. квартира,122,2,9,Фрунзенская ,6–10,nan,Собственник,104800,nan
1-к. квартира,53,12,15,Новочеркасская ,11–15,nan,Собственник,48000,nan
1-к. квартира,40,6,24,Пролетарская ,5,nan,Собственник,45000,nan
2-к. квартира,42,3,6,Автово ,11–15,nan,Собственник,29500,nan
3-к. квартира,110,4,13,Приморская ,21–30,nan,Собственник,58000,nan
Квартира-студия,26,3,14,Комендантский проспект ,31,nan,Собственник,21000,nan
2-к. квартира,68,11,20,Звёздная ,11–15,nan,Собственник,45000,nan
Апартаменты-студия,30,8,12,Площадь Мужества ,6–10,nan,Собственник,45000,nan
1-к. квартира,35,8,10,Улица Дыбенко ,11–15,nan,Собственник,27000,nan
4-к. квартира,115,5,5,nan,nan,Пушкин,Собственник,70000,nan
Квартира-студия,25,22,24,nan,nan,р-н Приморский,Собственник,20000,nan
1-к. квартира,50,7,35,Обухово ,21–30,nan,Собственник,40000,nan
1-к. квартира,38.6,8,21,Старая деревня ,21–30,nan,Собственник,27000,nan
2-к. квартира,65,8,14,Проспект Просвещения ,21–30,nan,Собственник,43500,nan
2-к. квартира,50,4,9,Площадь Мужества ,11–15,nan,Собственник,30000,nan
1-к. квартира,34,5,12,nan,nan,городской пос. Новоселье,Собственник,25000,nan
Квартира-студия,25,14,24,nan,nan,р-н Приморский,Собственник,22000,nan
Квартира-студия,25,1,8,nan,nan,пос. Песочный,Собственник,30000,nan
Квартира-студия,26,12,23,Комендантский проспект ,31,nan,Собственник,25000,nan
1-к. квартира,37,4,5,nan,nan,р-н Московский,Собственник,25000,nan
1-к. квартира,42,25,27,Парнас ,21–30,nan,Собственник,35000,nan
3-к. квартира,95,4,4,Владимирская ,5,nan,Собственник,75000,nan
Квартира-студия,35,5,10,Площадь А Невского II ,16–20,nan,Собственник,38000,nan
2-к. квартира,82,3,4,Чернышевская ,6–10,nan,Собственник,90000,nan
3-к. квартира,62,5,9,nan,nan,р-н Красносельский,Собственник,25000,nan
1-к. квартира,33,10,15,Ладожская ,21–30,nan,Собственник,27000,nan
2-к. квартира,52,1,12,Проспект Ветеранов ,31,nan,Собственник,40000,nan
2-к. квартира,54,1,3,nan,nan,Петергоф,Собственник,35000,nan
3-к. квартира,70,7,9,Комендантский проспект ,11–15,nan,Собственник,40000,nan
3-к. квартира,82,13,18,Проспект Славы ,16–20,nan,Собственник,63000,nan
1-к. квартира,40,10,10,Комендантский проспект ,5,nan,Собственник,27000,nan
3-к. квартира,57,4,5,Международная ,16–20,nan,Собственник,29000,nan
3-к. квартира,74,14,14,Выборгская ,21–30,nan,Собственник,52000,nan
Квартира-студия,25,22,25,Комендантский проспект ,31,nan,Собственник,20000,nan
1-к. квартира,35.5,7,10,Комендантский проспект ,31,nan,Собственник,27000,nan
1-к. квартира,30.6,3,9,Гражданский проспект ,16–20,nan,Собственник,22000,nan
3-к. квартира,59,10,16,Гражданский проспект ,5,nan,Собственник,50000,nan
3-к. квартира,65.8,14,16,Комендантский проспект ,16–20,nan,Собственник,40000,nan
1-к. квартира,43,19,20,Ладожская ,31,nan,Собственник,33000,nan
3-к. квартира,78,13,27,Парнас ,21–30,nan,Собственник,33000,nan
1-к. квартира,30,9,9,Проспект Ветеранов ,16–20,nan,Собственник,23000,nan
Квартира-студия,34,2,3,nan,nan,д. Юкки,Собственник,20000,nan
Квартира-студия,23.1,24,24,Комендантский проспект ,31,nan,Собственник,26000,nan
1-к. квартира,34,21,25,Комендантский проспект ,31,nan,Собственник,28000,nan
2-к. квартира,46.3,5,5,nan,nan,Ломоносов,Собственник,20000,nan
2-к. квартира,80,2,5,Новочеркасская ,21–30,nan,Собственник,35000,nan
1-к. квартира,45,7,9,Площадь А Невского II ,16–20,nan,Собственник,50000,nan
2-к. квартира,56,7,9,nan,nan,Колпино,Собственник,30000,nan
Квартира-студия,27,11,14,nan,nan,пос. Парголово,Собственник,20000,nan
1-к. квартира,50,6,10,Звёздная ,21–30,nan,Собственник,40000,nan
2-к. квартира,55,2,5,Новочеркасская ,6–10,nan,Собственник,55000,nan
1-к. квартира,33,13,24,Обухово ,31,nan,Собственник,21000,nan
2-к. квартира,55,3,5,Ладожская ,31,nan,Собственник,35000,nan
1-к. апартаменты,36,7,11,Площадь Мужества ,11–15,nan,Собственник,38000,nan
1-к. квартира,37,6,12,nan,nan,р-н Красносельский,Собственник,26000,nan
2-к. квартира,59.8,8,11,Площадь А Невского II ,16–20,nan,Собственник,135000,nan
1-к. квартира,37.5,9,14,Беговая ,11–15,nan,Собственник,25000,nan
2-к. квартира,67,13,22,nan,nan,р-н Красносельский,Собственник,55000,nan
Квартира-студия,27,2,5,nan,nan,р-н Московский,Собственник,20000,nan
Квартира-студия,25,20,26,Елизаровская ,31,nan,Собственник,24000,nan
2-к. квартира,50.6,3,5,nan,nan,Пушкин,Собственник,35000,nan
Квартира-студия,30,21,21,Ладожская ,6–10,nan,Собственник,35000,nan
2-к. квартира,60,3,5,nan,nan,р-н Приморский,Собственник,35000,nan
3-к. квартира,87,12,20,Фрунзенская ,6–10,nan,Собственник,90000,nan
1-к. квартира,37,5,5,Ломоносовская ,6–10,nan,Собственник,35000,nan
3-к. квартира,70,4,5,Садовая ,5,nan,Собственник,50000,nan
Квартира-студия,33,9,14,Проспект Ветеранов ,31,nan,Собственник,24000,nan
5-к. квартира,146,1,4,nan,nan,Сестрорецк,Собственник,45000,nan
3-к. квартира,54.4,2,5,nan,nan,Кронштадт,Собственник,23000,nan
3-к. квартира,92,13,25,Гражданский проспект ,11–15,nan,Собственник,58000,nan
1-к. квартира,38.5,8,9,nan,nan,р-н Красносельский,Собственник,28000,nan
5-к. квартира,146,1,4,nan,nan,Сестрорецк,Собственник,45000,nan
3-к. квартира,54.4,2,5,nan,nan,Кронштадт,Собственник,23000,nan
3-к. квартира,92,13,25,Гражданский проспект ,11–15,nan,Собственник,58000,nan
4-к. апартаменты,180,1,3,Беговая ,31,nan,Собственник,345000,nan
1-к. квартира,42,8,12,Московская ,11–15,nan,Собственник,32000,nan
3-к. квартира,85,5,8,Выборгская ,5,nan,Собственник,80000,nan
3-к. квартира,87,12,20,Фрунзенская ,6–10,nan,Собственник,90000,nan
5-к. квартира,150,17,18,Беговая ,11–15,nan,Собственник,150000,nan
1-к. квартира,40,2,17,Московские ворота ,11–15,nan,Собственник,40000,nan
Квартира-студия,30,2,12,Елизаровская ,31,nan,Собственник,26000,nan
1-к. квартира,37,12,24,nan,nan,пос. Шушары,Собственник,21000,nan
1-к. квартира,38,1,5,nan,nan,пос. Шушары,Собственник,30000,nan
1-к. квартира,60,12,16,Дунайская ,11–15,nan,Собственник,35000,nan
2-к. квартира,70,9,14,Фрунзенская ,6–10,nan,Собственник,75000,nan
2-к. квартира,60.7,4,8,Крестовский остров ,16–20,nan,Собственник,90000,nan
1-к. квартира,33,2,5,nan,nan,пос. Стрельна,Собственник,20000,nan
3-к. квартира,75,9,24,Парнас ,11–15,nan,Собственник,43000,nan
2-к. квартира,60,5,15,Проспект Просвещения ,16–20,nan,Собственник,35000,nan
1-к. квартира,31,3,5,nan,nan,р-н Московский,Собственник,33000,nan
Квартира-студия,14,1,9,Проспект Ветеранов ,31,nan,Собственник,17500,nan
1-к. квартира,50,3,10,Елизаровская ,5,nan,Собственник,31000,nan
2-к. квартира,57,9,11,Беговая ,21–30,nan,Собственник,43000,nan
3-к. квартира,55,2,5,nan,nan,Кронштадт,Собственник,19000,nan
2-к. квартира,48.2,5,5,nan,nan,Ломоносов,Собственник,30000,nan
3-к. квартира,80,9,9,Площадь А Невского II ,11–15,nan,Собственник,100000,nan
Квартира-студия,27,29,34,Обухово ,21–30,nan,Собственник,30000,nan
1-к. квартира,35,3,12,Московская ,16–20,nan,Собственник,29000,nan
1-к. квартира,42,7,10,Проспект Ветеранов ,31,nan,Собственник,24000,nan
2-к. квартира,70,3,14,Площадь Ленина ,31,nan,Собственник,100000,nan
1-к. квартира,39.4,12,13,Выборгская ,31,nan,Собственник,35000,nan
2-к. квартира,47,3,5,Ломоносовская ,21–30,nan,Собственник,27000,nan
1-к. квартира,33,10,15,Ладожская ,21–30,nan,Собственник,27000,nan
Апартаменты-студия,45,3,21,nan,nan,Сестрорецк,Собственник,35000,nan
2-к. квартира,42,2,12,Проспект Ветеранов ,6–10,nan,Собственник,30000,nan
5-к. квартира,230,3,4,Адмиралтейская ,11–15,nan,Собственник,250000,nan
1-к. квартира,38.5,11,25,Девяткино ,21–30,nan,Собственник,28000,nan
Апартаменты-студия,27,7,8,Старая деревня ,11–15,nan,Собственник,35000,nan
2-к. квартира,49,8,9,Ленинский проспект ,5,nan,Собственник,36000,nan
1-к. квартира,40,7,12,Рыбацкое ,16–20,nan,Собственник,27000,nan
2-к. квартира,45,1,3,nan,nan,Колпино,Собственник,20000,nan
2-к. квартира,80,4,5,Удельная ,21–30,nan,Собственник,40000,nan
1-к. квартира,36,6,10,Проспект Ветеранов ,31,nan,Собственник,20000,nan
1-к. квартира,33,10,14,nan,nan,пос. Новогорелово,Собственник,18000,nan
2-к. квартира,50,1,5,nan,nan,Ломоносов,Собственник,22000,nan
2-к. апартаменты,51,3,4,Беговая ,31,nan,Собственник,55000,nan
1-к. квартира,32,6,9,nan,nan,пос. Шушары,Собственник,30000,nan
1-к. квартира,41,17,19,Приморская ,31,nan,Собственник,40000,nan
2-к. квартира,53,5,5,nan,nan,р-н Красносельский,Собственник,55000,nan
Квартира-студия,24.8,9,16,nan,nan,р-н Приморский,Собственник,22000,nan
1-к. апартаменты,49,3,6,nan,nan,Сестрорецк,Собственник,49000,nan
1-к. квартира,32,7,9,Проспект Ветеранов ,31,nan,Собственник,20000,nan
1-к. квартира,40.6,15,22,Ладожская ,31,nan,Собственник,38000,nan
4-к. квартира,130,4,5,Невский проспект ,6–10,nan,Собственник,150000,nan
1-к. квартира,30.6,2,13,Академическая ,31,nan,Собственник,27000,nan
2-к. квартира,61,6,12,Звёздная ,21–30,nan,Собственник,60000,nan
2-к. квартира,42,15,25,Беговая ,21–30,nan,Собственник,40000,nan
1-к. квартира,37,20,25,Купчино ,31,nan,Собственник,20000,nan
1-к. квартира,38.8,7,7,Пролетарская ,6–10,nan,Собственник,25000,nan
1-к. квартира,43.9,2,12,Беговая ,11–15,nan,Собственник,25000,nan
5-к. квартира,217,3,3,Пушкинская ,6–10,nan,Собственник,160000,nan
2-к. квартира,68,9,16,Удельная ,11–15,nan,Собственник,43000,nan
2-к. квартира,50.3,3,10,Проспект Большевиков ,6–10,nan,Собственник,35000,nan
1-к. квартира,34,8,10,Улица Дыбенко ,11–15,nan,Собственник,23000,nan
1-к. квартира,31.4,22,25,nan,nan,р-н Приморский,Собственник,24000,nan
Квартира-студия,30,2,12,Елизаровская ,31,nan,Собственник,26000,nan
2-к. квартира,59,8,14,Комендантский проспект ,21–30,nan,Собственник,33000,nan
2-к. квартира,51,17,24,Площадь Мужества ,21–30,nan,Собственник,50000,nan
Квартира-студия,28,5,10,Парк Победы ,21–30,nan,Собственник,27000,nan
3-к. квартира,76,5,5,Чернышевская ,16–20,nan,Собственник,65000,nan
1-к. квартира,35,7,20,Девяткино ,21–30,nan,Собственник,22000,nan
1-к. квартира,40,2,18,Пролетарская ,5,nan,Собственник,26000,nan
1-к. квартира,41,2,5,Приморская ,21–30,nan,Собственник,40000,nan
1-к. квартира,37,12,18,Рыбацкое ,31,nan,Собственник,19000,nan
2-к. квартира,44.8,7,10,Московская ,21–30,nan,Собственник,43000,nan
1-к. квартира,40,5,22,Проспект Большевиков ,31,nan,Собственник,24000,nan
1-к. квартира,32.7,12,12,nan,nan,р-н Красносельский,Собственник,20000,nan
1-к. квартира,34,9,10,nan,nan,р-н Красносельский,Собственник,25000,nan
1-к. квартира,42,5,22,Парнас ,6–10,nan,Собственник,28000,nan
1-к. квартира,42.9,18,24,Купчино ,11–15,nan,Собственник,27000,nan
1-к. квартира,30,3,3,Академическая ,6–10,nan,Собственник,35000,nan
2-к. квартира,49,5,6,nan,nan,Сестрорецк,Собственник,75000,nan
3-к. квартира,100,11,23,Проспект Просвещения ,16–20,nan,Собственник,72000,nan
2-к. квартира,110,6,6,Горьковская ,6–10,nan,Собственник,70000,nan
2-к. квартира,82,5,7,Чернышевская ,16–20,nan,Собственник,70000,nan
2-к. квартира,47,1,8,nan,nan,р-н Красносельский,Собственник,27000,nan
2-к. квартира,64,2,14,nan,nan,р-н Красносельский,Собственник,40000,nan
2-к. апартаменты,65,11,12,Старая деревня ,11–15,nan,Собственник,62000,nan
1-к. квартира,35,14,26,Проспект Ветеранов ,31,nan,Собственник,23000,nan
4-к. квартира,140,3,3,Адмиралтейская ,11–15,nan,Собственник,120000,nan
1-к. квартира,30,4,5,Международная ,5,nan,Собственник,27000,nan
1-к. квартира,34.2,2,5,nan,nan,Пушкин,Собственник,25000,nan
4-к. квартира,107,2,5,Лиговский проспект ,6–10,nan,Собственник,77000,nan
2-к. квартира,65,2,6,Площадь А Невского I ,6–10,nan,Собственник,49000,nan
2-к. квартира,50,1,12,Старая деревня ,6–10,nan,Собственник,55000,nan
2-к. квартира,77,7,14,Беговая ,5,nan,Собственник,60000,nan
1-к. квартира,30,1,15,Академическая ,31,nan,Собственник,16000,nan
1-к. квартира,32,4,9,Проспект Ветеранов ,11–15,nan,Собственник,25000,nan
2-к. квартира,60,20,20,Проспект Ветеранов ,31,nan,Собственник,45000,nan
2-к. квартира,47,11,27,Парнас ,16–20,nan,Собственник,30000,nan
2-к. квартира,50,1,5,nan,nan,Зеленогорск,Собственник,23000,nan
Квартира-студия,25.6,14,26,Рыбацкое ,31,nan,Собственник,25000,nan
1-к. квартира,32,4,9,Проспект Ветеранов ,11–15,nan,Собственник,25000,nan
2-к. квартира,60,20,20,Проспект Ветеранов ,31,nan,Собственник,45000,nan
2-к. квартира,47,11,27,Парнас ,16–20,nan,Собственник,30000,nan
2-к. квартира,50,1,5,nan,nan,Зеленогорск,Собственник,23000,nan
1-к. квартира,37,1,14,Лесная ,11–15,nan,Собственник,30000,nan
1-к. квартира,36,6,9,Озерки ,6–10,nan,Собственник,24500,nan
2-к. квартира,64,11,25,Дунайская ,11–15,nan,Собственник,40000,nan
3-к. квартира,75,3,5,Площадь Восстания ,11–15,nan,Собственник,85000,nan
3-к. квартира,65,7,25,Парнас ,31,nan,Собственник,35000,nan
3-к. квартира,64,5,11,Старая деревня ,6–10,nan,Собственник,77000,nan
3-к. квартира,160,2,5,Чернышевская ,5,nan,Собственник,150000,nan
2-к. квартира,54,7,9,Рыбацкое ,31,nan,Собственник,23000,nan
1-к. квартира,38,6,18,Гражданский проспект ,31,nan,Собственник,22000,nan
2-к. квартира,97,9,19,Приморская ,16–20,nan,Собственник,60000,nan
Апартаменты-студия,19,19,20,Парнас ,11–15,nan,Собственник,20000,nan
1-к. квартира,40,4,5,nan,nan,Павловск,Собственник,25000,nan
Квартира-студия,26.6,5,10,nan,nan,р-н Красносельский,Собственник,22000,nan
2-к. квартира,59,4,7,Московская ,11–15,nan,Собственник,60000,nan
Апартаменты-студия,30,7,11,Площадь Мужества ,11–15,nan,Собственник,33000,nan
Квартира-студия,25,5,25,Купчино ,31,nan,Собственник,23000,nan
1-к. квартира,38,9,10,nan,nan,Сестрорецк,Собственник,30000,nan
3-к. квартира,49,4,5,Ленинский проспект ,5,nan,Собственник,45000,nan
2-к. квартира,48,15,15,Проспект Ветеранов ,21–30,nan,Собственник,28000,nan
1-к. квартира,49.5,11,24,Беговая ,16–20,nan,Собственник,45000,nan
2-к. квартира,66.8,10,20,nan,nan,р-н Красносельский,Собственник,45000,nan
3-к. апартаменты,80,3,3,Беговая ,31,nan,Собственник,85000,nan
3-к. квартира,103,6,18,Пионерская ,6–10,nan,Собственник,65000,nan
Квартира-студия,28,13,14,nan,nan,р-н Приморский,Собственник,20000,nan
2-к. квартира,37.7,6,12,Парк Победы ,21–30,nan,Собственник,50000,nan
5-к. квартира,171,4,4,nan,nan,Сестрорецк,Собственник,80000,nan
4-к. квартира,110,4,6,Ломоносовская ,6–10,nan,Собственник,69000,nan
1-к. квартира,56,2,3,Чернышевская ,6–10,nan,Собственник,49000,nan
Квартира-студия,28,13,17,Проспект Просвещения ,21–30,nan,Собственник,25000,nan
1-к. квартира,39,5,6,nan,nan,Сестрорецк,Собственник,45000,nan
1-к. квартира,30,5,6,nan,nan,пос. Шушары,Собственник,20000,nan
Квартира-студия,26,3,8,nan,nan,р-н Красносельский,Собственник,25000,nan
1-к. квартира,35,22,24,Комендантский проспект ,31,nan,Собственник,25000,nan
3-к. квартира,97,5,6,Удельная ,21–30,nan,Собственник,50000,nan
1-к. квартира,39,17,23,Гражданский проспект ,31,nan,Собственник,20000,nan
1-к. квартира,38,12,24,Купчино ,11–15,nan,Собственник,40000,nan
1-к. квартира,37,20,25,Купчино ,31,nan,Собственник,25000,nan
Квартира-студия,30.4,22,26,Парнас ,21–30,nan,Собственник,22000,nan
2-к. квартира,58.3,3,12,Старая деревня ,11–15,nan,Собственник,60000,nan
3-к. квартира,80,3,17,Комендантский проспект ,16–20,nan,Собственник,50000,nan
1-к. квартира,34,2,4,nan,nan,р-н Красносельский,Собственник,25000,nan
Квартира-студия,25,2,25,nan,nan,р-н Приморский,Собственник,23000,nan
2-к. апартаменты,58,2,5,nan,nan,Сестрорецк,Собственник,45000,nan
1-к. квартира,37,7,12,nan,nan,пос. Новогорелово,Собственник,17000,nan
1-к. квартира,51.3,5,5,Достоевская ,5,nan,Собственник,65000,nan
Квартира-студия,21,9,24,Комендантский проспект ,31,nan,Собственник,23000,nan
1-к. квартира,30,1,5,nan,nan,пос. Молодёжное,Собственник,18000,nan
1-к. квартира,45.3,5,8,Площадь Мужества ,11–15,nan,Собственник,30000,nan
3-к. квартира,68,4,5,Владимирская ,6–10,nan,Собственник,77000,nan
1-к. квартира,32,17,24,Купчино ,31,nan,Собственник,25000,nan
1-к. квартира,35,8,17,Проспект Славы ,21–30,nan,Собственник,35000,nan
1-к. квартира,33.7,7,10,nan,nan,р-н Красносельский,Собственник,31000,nan
Квартира-студия,25,11,19,nan,nan,р-н Приморский,Собственник,21000,nan
Квартира-студия,25,2,12,Василеостровская ,21–30,nan,Собственник,60000,nan
3-к. квартира,72,4,5,Обводный канал ,5,nan,Собственник,70000,nan
3-к. квартира,97,5,6,Удельная ,21–30,nan,Собственник,50000,nan
3-к. квартира,82,6,9,Площадь Мужества ,11–15,nan,Собственник,75000,nan
3-к. квартира,89,2,10,Старая деревня ,21–30,nan,Собственник,85000,nan
Квартира-студия,24.3,5,8,nan,nan,р-н Красносельский,Собственник,17000,nan
3-к. квартира,95.1,5,7,Чернышевская ,5,nan,Собственник,85000,nan
4-к. квартира,50,2,5,Московская ,16–20,nan,Собственник,43000,nan
1-к. квартира,33.8,10,27,Парнас ,11–15,nan,Собственник,10000,nan
5-к. квартира,128,25,26,Купчино ,31,nan,Собственник,60000,nan
1-к. квартира,48,2,4,nan,nan,Сестрорецк,Собственник,55000,nan
Квартира-студия,21,24,25,nan,nan,р-н Красногвардейский,Собственник,18000,nan
3-к. квартира,76,5,10,Автово ,21–30,nan,Собственник,40000,nan
Квартира-студия,26,16,21,Комендантский проспект ,31,nan,Собственник,20000,nan
Квартира-студия,27.5,13,23,Обухово ,31,nan,Собственник,21000,nan
1-к. квартира,32,3,25,nan,nan,р-н Приморский,Собственник,29000,nan
2-к. квартира,50,10,14,Приморская ,11–15,nan,Собственник,40000,nan
1-к. квартира,43,4,17,Проспект Ветеранов ,16–20,nan,Собственник,27000,nan
1-к. квартира,35,9,24,Комендантский проспект ,31,nan,Собственник,30000,nan
1-к. квартира,39,3,9,Старая деревня ,16–20,nan,Собственник,23000,nan
2-к. квартира,73,18,20,Чёрная речка ,11–15,nan,Собственник,140000,nan
3-к. квартира,62,5,9,Проспект Ветеранов ,31,nan,Собственник,40000,nan
1-к. квартира,39,10,12,Комендантский проспект ,21–30,nan,Собственник,29000,nan
