Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
1-к. квартира,34.6,4,9,Проспект Просвещения ,11–15,nan,Собственник,23000,nan
1-к. квартира,33,21,24,Обухово ,31,nan,Собственник,21000,nan
Квартира-студия,24.5,7,15,Звёздная ,31,nan,Собственник,20000,nan
Квартира-студия,30,1,9,Лесная ,11–15,nan,Собственник,40000,nan
1-к. квартира,42,4,17,nan,nan,р-н Красносельский,Собственник,22000,nan
Квартира-студия,28,3,15,Беговая ,16–20,nan,Собственник,25000,nan
1-к. квартира,42,20,26,Парнас ,31,nan,Собственник,25000,nan
1-к. квартира,33,4,9,Парнас ,21–30,nan,Собственник,23000,nan
1-к. квартира,42,4,24,Девяткино ,21–30,nan,Собственник,25000,nan
Апартаменты-студия,20,9,21,Парнас ,11–15,nan,Собственник,17000,nan
Квартира-студия,22,4,16,Приморская ,5,nan,Собственник,24000,nan
1-к. квартира,29,4,5,nan,nan,Сестрорецк,Собственник,22000,nan
Квартира-студия,24.5,2,6,Дунайская ,11–15,nan,Собственник,25000,nan
Квартира-студия,32,18,21,Проспект Ветеранов ,31,nan,Собственник,18000,nan
1-к. квартира,38,11,16,Проспект Славы ,16–20,nan,Собственник,23000,nan
Квартира-студия,28,2,10,nan,nan,городской пос. Новоселье,Собственник,17000,nan
1-к. квартира,30,2,15,nan,nan,р-н Красногвардейский,Собственник,18000,nan
Апартаменты-студия,27,12,16,Проспект Просвещения ,6–10,nan,Собственник,28000,nan
Квартира-студия,26,3,16,Дунайская ,6–10,nan,Собственник,22000,nan
1-к. квартира,32,1,5,nan,nan,р-н Красносельский,Собственник,19000,nan
1-к. квартира,30,6,9,Пионерская ,6–10,nan,Собственник,25000,nan
Квартира-студия,25.1,10,17,Приморская ,31,nan,Собственник,25000,nan
1-к. квартира,35.5,6,9,Дунайская ,6–10,nan,Собственник,26000,nan
1-к. квартира,37,6,17,Ладожская ,11–15,nan,Собственник,33000,nan
Квартира-студия,25,1,8,nan,nan,р-н Красносельский,Собственник,18000,nan
Квартира-студия,30,4,12,nan,nan,р-н Красносельский,Собственник,19000,nan
1-к. квартира,38.9,3,25,Проспект Просвещения ,31,nan,Собственник,28000,nan
1-к. квартира,42.9,6,25,Пионерская ,11–15,nan,Собственник,29000,nan
1-к. квартира,32,2,5,nan,nan,Петергоф,Собственник,18000,nan
Квартира-студия,24,17,25,nan,nan,р-н Красногвардейский,Собственник,15500,nan
1-к. квартира,30,8,9,Международная ,11–15,nan,Собственник,30000,nan
1-к. квартира,38.7,13,25,Парнас ,16–20,nan,Собственник,22000,nan
Квартира-студия,24,10,12,Рыбацкое ,11–15,nan,Собственник,25000,nan
1-к. квартира,34,7,25,Проспект Большевиков ,21–30,nan,Собственник,26000,nan
Квартира-студия,25,11,16,Ломоносовская ,31,nan,Собственник,20000,nan
1-к. квартира,41,5,10,Проспект Просвещения ,6–10,nan,Собственник,30000,nan
Квартира-студия,24,4,5,nan,nan,Пушкин,Собственник,21000,nan
Квартира-студия,30.7,3,5,Проспект Ветеранов ,31,nan,Собственник,25000,nan
Квартира-студия,24,11,12,nan,nan,р-н Красносельский,Собственник,20000,nan
1-к. квартира,30.6,6,10,Академическая ,11–15,nan,Собственник,18000,nan
Квартира-студия,24.2,1,4,nan,nan,р-н Красносельский,Собственник,20000,nan
Квартира-студия,25,4,23,Комендантский проспект ,31,nan,Собственник,22000,nan
Квартира-студия,30,9,21,nan,nan,р-н Красносельский,Собственник,20000,nan
1-к. квартира,38,13,14,Комендантский проспект ,21–30,nan,Собственник,25000,nan
Квартира-студия,28,25,25,Беговая ,21–30,nan,Собственник,20000,nan
Апартаменты-студия,22.6,13,20,Парнас ,11–15,nan,Собственник,18000,nan
Квартира-студия,26,4,18,Ломоносовская ,11–15,nan,Собственник,26000,nan
Квартира-студия,24,25,25,Комендантский проспект ,31,nan,Собственник,24000,nan
1-к. квартира,37,1,5,nan,nan,р-н Приморский,Собственник,23000,nan
Апартаменты-студия,22.1,19,20,Парнас ,11–15,nan,Собственник,16000,nan
1-к. квартира,30,1,9,Политехническая ,21–30,nan,Собственник,25000,nan
1-к. квартира,32.5,4,5,Площадь Мужества ,6–10,nan,Собственник,30000,nan
1-к. квартира,31,2,5,Академическая ,21–30,nan,Собственник,23000,nan
Квартира-студия,25,9,18,Звёздная ,21–30,nan,Собственник,27000,nan
Квартира-студия,13,5,7,Садовая ,5,nan,Собственник,23900,nan
1-к. квартира,39,11,25,Рыбацкое ,31,nan,Собственник,21000,nan
1-к. квартира,38,6,9,Проспект Большевиков ,11–15,nan,Собственник,26000,nan
1-к. квартира,35.8,6,14,Улица Дыбенко ,16–20,nan,Собственник,17000,nan
1-к. квартира,40.2,4,6,nan,nan,Пушкин,Собственник,23000,nan
Квартира-студия,25,5,14,nan,nan,р-н Приморский,Собственник,22000,nan
2-к. квартира,75,8,11,Чкаловская ,16–20,nan,Собственник,95000,nan
Квартира-студия,28,4,16,nan,nan,р-н Красносельский,Собственник,20000,nan
Квартира-студия,18,1,5,Чернышевская ,6–10,nan,Собственник,28000,nan
1-к. квартира,36,13,24,Комендантский проспект ,31,nan,Собственник,30000,nan
Квартира-студия,26,14,21,Ладожская ,6–10,nan,Собственник,30000,nan
Квартира-студия,22.1,11,20,Парнас ,31,nan,Собственник,23000,nan
1-к. квартира,38,3,5,nan,nan,р-н Приморский,Собственник,19000,nan
Квартира-студия,25,9,25,Елизаровская ,31,nan,Собственник,21000,nan
Квартира-студия,25,7,23,Комендантский проспект ,31,nan,Собственник,20000,nan
1-к. квартира,34,10,24,Обухово ,31,nan,Собственник,20000,nan
1-к. квартира,38,5,22,Проспект Просвещения ,11–15,nan,Собственник,25000,nan
1-к. квартира,39,16,20,Комендантский проспект ,31,nan,Собственник,24000,nan
1-к. квартира,40,7,16,Проспект Большевиков ,16–20,nan,Собственник,24000,nan
Квартира-студия,25,19,26,Парнас ,16–20,nan,Собственник,21000,nan
Квартира-студия,29.4,6,9,Звёздная ,31,nan,Собственник,22000,nan
2-к. квартира,46,1,5,Международная ,6–10,nan,Собственник,30000,nan
1-к. квартира,36,1,21,Звёздная ,11–15,nan,Собственник,32000,nan
Квартира-студия,27,1,5,Спортивная ,6–10,nan,Собственник,32000,nan
Квартира-студия,28,9,24,Звёздная ,21–30,nan,Собственник,24000,nan
1-к. квартира,33,13,13,nan,nan,р-н Приморский,Собственник,25000,nan
Квартира-студия,36,18,25,Беговая ,21–30,nan,Собственник,23200,nan
1-к. квартира,31,2,5,Чкаловская ,6–10,nan,Собственник,28000,nan
Квартира-студия,25,9,11,nan,nan,р-н Приморский,Собственник,21000,nan
Квартира-студия,25,2,8,nan,nan,р-н Красносельский,Собственник,15999,nan
1-к. квартира,39,10,23,Комендантский проспект ,31,nan,Собственник,22000,nan
1-к. квартира,39,7,24,Звёздная ,6–10,nan,Собственник,29000,nan
Квартира-студия,25,10,15,Девяткино ,21–30,nan,Собственник,18000,nan
Квартира-студия,28,22,24,Комендантский проспект ,21–30,nan,Собственник,26000,nan
1-к. квартира,35,3,5,Гражданский проспект ,21–30,nan,Собственник,22000,nan
Квартира-студия,25,7,24,Звёздная ,11–15,nan,Собственник,23000,nan
1-к. квартира,36,8,9,Проспект Ветеранов ,31,nan,Собственник,20000,nan
1-к. квартира,38,1,4,Купчино ,31,nan,Собственник,23000,nan
